.net core 20	.net design patterns
 0.76	3
 vuejs	javascript
 0.48	21
 vuejs	angular
 0.41	58
 vuejs	react
 0.46	29
 vuejs	react js
 0.58	6
 vuejs	web dev
 0.29	196
 wireless engineer	wireless engineer & network engineer
 0.89	1
 wireless engineer	wirless networks
 0.42	46
 xml	xpath
 0.63	4
 Elapsed time: 70.18628859519958
 Evaluation score: 152
 Evaluation score normalized: 64.95726495726495
 
